,Region,Year,Gross domestic product (GDP) chained volume measures (CVM) in 2019 money value
742,Enfield,2021,8501
743,Enfield,2022,8612
744,Outer London - South,2017,37828
745,Outer London - South,2018,38208
746,Outer London - South,2019,38633
747,Outer London - South,2020,32977
748,Outer London - South,2021,34629
749,Outer London - South,2022,36120
750,Bromley,2017,9560
751,Bromley,2018,9516
752,Bromley,2019,9226
753,Bromley,2020,7799
754,Bromley,2021,8054
755,Bromley,2022,8347
756,Croydon,2017,10577
757,Croydon,2018,11206
758,Croydon,2019,11691
759,Croydon,2020,10394
760,Croydon,2021,11040
761,Croydon,2022,11512
762,"Merton, Kingston upon Thames and Sutton",2017,17687
763,"Merton, Kingston upon Thames and Sutton",2018,17525
764,"Merton, Kingston upon Thames and Sutton",2019,17716
765,"Merton, Kingston upon Thames and Sutton",2020,14751
766,"Merton, Kingston upon Thames and Sutton",2021,15702
767,"Merton, Kingston upon Thames and Sutton",2022,16308
768,Outer London - West and North West,2017,79485
769,Outer London - West and North West,2018,79925
770,Outer London - West and North West,2019,80576
771,Outer London - West and North West,2020,63173
772,Outer London - West and North West,2021,66526
773,Outer London - West and North West,2022,70174
774,Barnet,2017,10128
775,Barnet,2018,10245
776,Barnet,2019,10365
777,Barnet,2020,9197
778,Barnet,2021,10060
779,Barnet,2022,10629
780,Brent,2017,10159
781,Brent,2018,9934
782,Brent,2019,10316
783,Brent,2020,8808
784,Brent,2021,9353
785,Brent,2022,9707
786,Ealing,2017,10800
787,Ealing,2018,10733
788,Ealing,2019,10625
789,Ealing,2020,9669
790,Ealing,2021,9996
791,Ealing,2022,9838
792,Harrow and Hillingdon,2017,22303
793,Harrow and Hillingdon,2018,22499
794,Harrow and Hillingdon,2019,22390
795,Harrow and Hillingdon,2020,16156
796,Harrow and Hillingdon,2021,17274
797,Harrow and Hillingdon,2022,18149
798,Hounslow and Richmond upon Thames,2017,26094
799,Hounslow and Richmond upon Thames,2018,26587
800,Hounslow and Richmond upon Thames,2019,26880
801,Hounslow and Richmond upon Thames,2020,19596
802,Hounslow and Richmond upon Thames,2021,20134
803,Hounslow and Richmond upon Thames,2022,21952
804,South East,2017,316463
805,South East,2018,321873
806,South East,2019,331457
807,South East,2020,306289
808,South East,2021,326064
809,South East,2022,341657
810,"Berkshire, Buckinghamshire and Oxfordshire",2017,101871
811,"Berkshire, Buckinghamshire and Oxfordshire",2018,105459
812,"Berkshire, Buckinghamshire and Oxfordshire",2019,109271
813,"Berkshire, Buckinghamshire and Oxfordshire",2020,104651
814,"Berkshire, Buckinghamshire and Oxfordshire",2021,112569
815,"Berkshire, Buckinghamshire and Oxfordshire",2022,117016
816,Berkshire,2017,45012
817,Berkshire,2018,47827
818,Berkshire,2019,49930
819,Berkshire,2020,49732
820,Berkshire,2021,53626
821,Berkshire,2022,56191
822,Milton Keynes,2017,14925
823,Milton Keynes,2018,15066
824,Milton Keynes,2019,14908
825,Milton Keynes,2020,13373
826,Milton Keynes,2021,14295
827,Milton Keynes,2022,14313
828,Buckinghamshire CC,2017,17213
829,Buckinghamshire CC,2018,17406
830,Buckinghamshire CC,2019,18246
831,Buckinghamshire CC,2020,16794
832,Buckinghamshire CC,2021,18038
833,Buckinghamshire CC,2022,18542
834,Oxfordshire CC,2017,24626
835,Oxfordshire CC,2018,25118
836,Oxfordshire CC,2019,26187
837,Oxfordshire CC,2020,25056
838,Oxfordshire CC,2021,26617
839,Oxfordshire CC,2022,28021
840,"Surrey, East and West Sussex",2017,97754
841,"Surrey, East and West Sussex",2018,98001
842,"Surrey, East and West Sussex",2019,100019
843,"Surrey, East and West Sussex",2020,90543
844,"Surrey, East and West Sussex",2021,95789
845,"Surrey, East and West Sussex",2022,100854
846,Brighton and Hove,2017,9255
847,Brighton and Hove,2018,9627
848,Brighton and Hove,2019,9831
849,Brighton and Hove,2020,9106
850,Brighton and Hove,2021,9929
851,Brighton and Hove,2022,11033
852,East Sussex CC,2017,11068
853,East Sussex CC,2018,10978
854,East Sussex CC,2019,11172
855,East Sussex CC,2020,10127
856,East Sussex CC,2021,11133
857,East Sussex CC,2022,11375
858,West Surrey,2017,34391
859,West Surrey,2018,34747
860,West Surrey,2019,35918
861,West Surrey,2020,33959
862,West Surrey,2021,35337
863,West Surrey,2022,35444
864,East Surrey,2017,16655
865,East Surrey,2018,15556
866,East Surrey,2019,15522
867,East Surrey,2020,13707
868,East Surrey,2021,14616
869,East Surrey,2022,15945
870,West Sussex (South West),2017,12228
871,West Sussex (South West),2018,12473
872,West Sussex (South West),2019,12717
873,West Sussex (South West),2020,11710
874,West Sussex (South West),2021,12636
875,West Sussex (South West),2022,13410
876,West Sussex (North East),2017,14271
877,West Sussex (North East),2018,14731
878,West Sussex (North East),2019,14860
879,West Sussex (North East),2020,12127
880,West Sussex (North East),2021,12896
881,West Sussex (North East),2022,13703
882,Hampshire and Isle of Wight,2017,66944
883,Hampshire and Isle of Wight,2018,67742
884,Hampshire and Isle of Wight,2019,70228
885,Hampshire and Isle of Wight,2020,63439
886,Hampshire and Isle of Wight,2021,67498
887,Hampshire and Isle of Wight,2022,71159
888,Portsmouth,2017,6848
889,Portsmouth,2018,6860
890,Portsmouth,2019,7254
891,Portsmouth,2020,6611
892,Portsmouth,2021,7078
893,Portsmouth,2022,7531
894,Southampton,2017,9434
895,Southampton,2018,9929
896,Southampton,2019,9739
897,Southampton,2020,8477
898,Southampton,2021,9320
899,Southampton,2022,10089
900,Isle of Wight,2017,3068
901,Isle of Wight,2018,3037
902,Isle of Wight,2019,3151
903,Isle of Wight,2020,2819
904,Isle of Wight,2021,3047
905,Isle of Wight,2022,3290
906,South Hampshire,2017,13164
907,South Hampshire,2018,12601
908,South Hampshire,2019,12858
909,South Hampshire,2020,11759
910,South Hampshire,2021,12499
911,South Hampshire,2022,12778
912,Central Hampshire,2017,18149
913,Central Hampshire,2018,18296
914,Central Hampshire,2019,18907
915,Central Hampshire,2020,16884
916,Central Hampshire,2021,18370
917,Central Hampshire,2022,19213
918,North Hampshire,2017,16311
919,North Hampshire,2018,17031
920,North Hampshire,2019,18319
921,North Hampshire,2020,17078
922,North Hampshire,2021,17638
923,North Hampshire,2022,18286
924,Kent,2017,49955
925,Kent,2018,50692
926,Kent,2019,51938
927,Kent,2020,47631
928,Kent,2021,50127
929,Kent,2022,52558
930,Medway,2017,6547
931,Medway,2018,6587
932,Medway,2019,6847
933,Medway,2020,6447
934,Medway,2021,6544
935,Medway,2022,6962
936,Kent Thames Gateway,2017,9693
937,Kent Thames Gateway,2018,9817
938,Kent Thames Gateway,2019,10159
939,Kent Thames Gateway,2020,9371
940,Kent Thames Gateway,2021,10222
941,Kent Thames Gateway,2022,9991
942,East Kent,2017,11915
943,East Kent,2018,12027
944,East Kent,2019,12011
945,East Kent,2020,10722
946,East Kent,2021,11433
947,East Kent,2022,12271
948,Mid Kent,2017,8274
949,Mid Kent,2018,8443
950,Mid Kent,2019,8843
951,Mid Kent,2020,8019
952,Mid Kent,2021,8562
953,Mid Kent,2022,8970
954,West Kent,2017,13429
955,West Kent,2018,13806
956,West Kent,2019,14078
957,West Kent,2020,13216
958,West Kent,2021,13915
959,West Kent,2022,14282
960,South West,2017,162536
961,South West,2018,163791
962,South West,2019,166873
963,South West,2020,148699
964,South West,2021,166958
965,South West,2022,174029
966,"Gloucestershire, Wiltshire and Bath/Bristol Area",2017,84689
967,"Gloucestershire, Wiltshire and Bath/Bristol Area",2018,85547
968,"Gloucestershire, Wiltshire and Bath/Bristol Area",2019,87498
969,"Gloucestershire, Wiltshire and Bath/Bristol Area",2020,78926
970,"Gloucestershire, Wiltshire and Bath/Bristol Area",2021,87149
971,"Gloucestershire, Wiltshire and Bath/Bristol Area",2022,90722
972,"Bristol, City of",2017,17619
973,"Bristol, City of",2018,17102
974,"Bristol, City of",2019,17537
975,"Bristol, City of",2020,15473
976,"Bristol, City of",2021,18050
977,"Bristol, City of",2022,19139
978,"Bath and North East Somerset, North Somerset and South Gloucestershire",2017,22441
979,"Bath and North East Somerset, North Somerset and South Gloucestershire",2018,22980
980,"Bath and North East Somerset, North Somerset and South Gloucestershire",2019,23642
981,"Bath and North East Somerset, North Somerset and South Gloucestershire",2020,21939
982,"Bath and North East Somerset, North Somerset and South Gloucestershire",2021,23757
983,"Bath and North East Somerset, North Somerset and South Gloucestershire",2022,25165
984,Gloucestershire CC,2017,20193
985,Gloucestershire CC,2018,20515
986,Gloucestershire CC,2019,21209
987,Gloucestershire CC,2020,19172
988,Gloucestershire CC,2021,20959
989,Gloucestershire CC,2022,20873
990,Swindon,2017,10591
991,Swindon,2018,10978
992,Swindon,2019,11038
993,Swindon,2020,9739
994,Swindon,2021,10062
995,Swindon,2022,10959
996,Wiltshire,2017,13677
997,Wiltshire,2018,13862
998,Wiltshire,2019,14072
999,Wiltshire,2020,12696
1000,Wiltshire,2021,14002
1001,Wiltshire,2022,14678
1002,Dorset and Somerset,2017,35000
1003,Dorset and Somerset,2018,35327
1004,Dorset and Somerset,2019,35715
1005,Dorset and Somerset,2020,32205
1006,Dorset and Somerset,2021,35160
1007,Dorset and Somerset,2022,36541
1008,Somerset CC,2017,13894
1009,Somerset CC,2018,14139
1010,Somerset CC,2019,14225
1011,Somerset CC,2020,12946
1012,Somerset CC,2021,13872
1013,Somerset CC,2022,14504
1014,"Bournemouth, Christchurch and Poole",2017,12097
1015,"Bournemouth, Christchurch and Poole",2018,11898
1016,"Bournemouth, Christchurch and Poole",2019,12063
1017,"Bournemouth, Christchurch and Poole",2020,10772
1018,"Bournemouth, Christchurch and Poole",2021,11911
1019,"Bournemouth, Christchurch and Poole",2022,12249
1020,Dorset,2017,9187
1021,Dorset,2018,9267
1022,Dorset,2019,9426
1023,Dorset,2020,8569
1024,Dorset,2021,9339
1025,Dorset,2022,9611
1026,Cornwall and Isles of Scilly,2017,13046
1027,Cornwall and Isles of Scilly,2018,13171
1028,Cornwall and Isles of Scilly,2019,13352
1029,Cornwall and Isles of Scilly,2020,11613
1030,Cornwall and Isles of Scilly,2021,13619
1031,Cornwall and Isles of Scilly,2022,14211
1032,Cornwall and Isles of Scilly,2017,13041
1033,Cornwall and Isles of Scilly,2018,13160
1034,Cornwall and Isles of Scilly,2019,13352
1035,Cornwall and Isles of Scilly,2020,11625
1036,Cornwall and Isles of Scilly,2021,13543
1037,Cornwall and Isles of Scilly,2022,14180
1038,Devon,2017,29791
1039,Devon,2018,29736
1040,Devon,2019,30309
1041,Devon,2020,25936
1042,Devon,2021,31025
1043,Devon,2022,32559
1044,Plymouth,2017,6615
1045,Plymouth,2018,6683
1046,Plymouth,2019,6749
1047,Plymouth,2020,5763
1048,Plymouth,2021,6677
1049,Plymouth,2022,7135
1050,Torbay,2017,2420
1051,Torbay,2018,2330
1052,Torbay,2019,2376
1053,Torbay,2020,1967
1054,Torbay,2021,2446
1055,Torbay,2022,2575
1056,Devon CC,2017,20775
1057,Devon CC,2018,20785
1058,Devon CC,2019,21185
1059,Devon CC,2020,18286
1060,Devon CC,2021,21818
1061,Devon CC,2022,22883
1062,Wales,2017,75344
1063,Wales,2018,77314
1064,Wales,2019,78479
1065,Wales,2020,70058
1066,Wales,2021,73743
1067,Wales,2022,76547
1068,West Wales and The Valleys,2017,42414
1069,West Wales and The Valleys,2018,43371
1070,West Wales and The Valleys,2019,43964
1071,West Wales and The Valleys,2020,38174
1072,West Wales and The Valleys,2021,40998
1073,West Wales and The Valleys,2022,42599
1074,Isle of Anglesey,2017,1294
1075,Isle of Anglesey,2018,1341
1076,Isle of Anglesey,2019,1385
1077,Isle of Anglesey,2020,1136
1078,Isle of Anglesey,2021,1297
1079,Isle of Anglesey,2022,1420
1080,Gwynedd,2017,2871
1081,Gwynedd,2018,2875
1082,Gwynedd,2019,2906
1083,Gwynedd,2020,2347
1084,Gwynedd,2021,2703
1085,Gwynedd,2022,2765
1086,Conwy and Denbighshire,2017,4496
1087,Conwy and Denbighshire,2018,4496
1088,Conwy and Denbighshire,2019,4493
1089,Conwy and Denbighshire,2020,3885
1090,Conwy and Denbighshire,2021,4206
1091,Conwy and Denbighshire,2022,4396
1092,South West Wales,2017,8584
1093,South West Wales,2018,8686
1094,South West Wales,2019,8713
1095,South West Wales,2020,7337
1096,South West Wales,2021,8103
1097,South West Wales,2022,8651
1098,Central Valleys,2017,6197
1099,Central Valleys,2018,6306
1100,Central Valleys,2019,6330
1101,Central Valleys,2020,5582
1102,Central Valleys,2021,5993
1103,Central Valleys,2022,6283
1104,Gwent Valleys,2017,6289
1105,Gwent Valleys,2018,6541
1106,Gwent Valleys,2019,6696
1107,Gwent Valleys,2020,6053
1108,Gwent Valleys,2021,6515
1109,Gwent Valleys,2022,6667
1110,Bridgend and Neath Port Talbot,2017,6546
1111,Bridgend and Neath Port Talbot,2018,6673
1112,Bridgend and Neath Port Talbot,2019,6922
1113,Bridgend and Neath Port Talbot,2020,6119
1114,Bridgend and Neath Port Talbot,2021,6573
1115,Bridgend and Neath Port Talbot,2022,6580
1116,Swansea,2017,6151
1117,Swansea,2018,6468
1118,Swansea,2019,6519
1119,Swansea,2020,5715
1120,Swansea,2021,5912
1121,Swansea,2022,5923
1122,East Wales,2017,32944
1123,East Wales,2018,33953
1124,East Wales,2019,34515
1125,East Wales,2020,31858
1126,East Wales,2021,32745
1127,East Wales,2022,33951
1128,Monmouthshire and Newport,2017,6663
1129,Monmouthshire and Newport,2018,7030
1130,Monmouthshire and Newport,2019,7039
1131,Monmouthshire and Newport,2020,6304
1132,Monmouthshire and Newport,2021,6530
1133,Monmouthshire and Newport,2022,6713
1134,Cardiff and Vale of Glamorgan,2017,15434
1135,Cardiff and Vale of Glamorgan,2018,15676
1136,Cardiff and Vale of Glamorgan,2019,16042
1137,Cardiff and Vale of Glamorgan,2020,14897
1138,Cardiff and Vale of Glamorgan,2021,15566
1139,Cardiff and Vale of Glamorgan,2022,16127
1140,Flintshire and Wrexham,2017,8199
1141,Flintshire and Wrexham,2018,8548
1142,Flintshire and Wrexham,2019,8758
1143,Flintshire and Wrexham,2020,8189
1144,Flintshire and Wrexham,2021,8547
1145,Flintshire and Wrexham,2022,8786
1146,Powys,2017,2694
1147,Powys,2018,2701
1148,Powys,2019,2675
1149,Powys,2020,2390
1150,Powys,2021,2475
1151,Powys,2022,2595
1152,Scotland,2017,166007
1153,Scotland,2018,166174
1154,Scotland,2019,168681
1155,Scotland,2020,147669
1156,Scotland,2021,161529
1157,Scotland,2022,166623
1158,North Eastern Scotland,2017,19412
1159,North Eastern Scotland,2018,18844
1160,North Eastern Scotland,2019,18887
1161,North Eastern Scotland,2020,16143
1162,North Eastern Scotland,2021,16927
1163,North Eastern Scotland,2022,17723
1164,Aberdeen City and Aberdeenshire,2017,19428
1165,Aberdeen City and Aberdeenshire,2018,18882
1166,Aberdeen City and Aberdeenshire,2019,18887
1167,Aberdeen City and Aberdeenshire,2020,16139
1168,Aberdeen City and Aberdeenshire,2021,16913
1169,Aberdeen City and Aberdeenshire,2022,17766
1170,Highlands and Islands,2017,13660
1171,Highlands and Islands,2018,13620
1172,Highlands and Islands,2019,13795
1173,Highlands and Islands,2020,12052
1174,Highlands and Islands,2021,12840
1175,Highlands and Islands,2022,13251
1176,"Caithness and Sutherland, and Ross and Cromarty",2017,2366
1177,"Caithness and Sutherland, and Ross and Cromarty",2018,2362
1178,"Caithness and Sutherland, and Ross and Cromarty",2019,2451
1179,"Caithness and Sutherland, and Ross and Cromarty",2020,2194
1180,"Caithness and Sutherland, and Ross and Cromarty",2021,2363
1181,"Caithness and Sutherland, and Ross and Cromarty",2022,2498
1182,"Inverness and Nairn, Moray, Badenoch and Strathspey",2017,6367
1183,"Inverness and Nairn, Moray, Badenoch and Strathspey",2018,6374
1184,"Inverness and Nairn, Moray, Badenoch and Strathspey",2019,6327
1185,"Inverness and Nairn, Moray, Badenoch and Strathspey",2020,5492
1186,"Inverness and Nairn, Moray, Badenoch and Strathspey",2021,5894
1187,"Inverness and Nairn, Moray, Badenoch and Strathspey",2022,6152
1188,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2017,2827
1189,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2018,2804
1190,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2019,2863
1191,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2020,2468
1192,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2021,2624
1193,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2022,2704
1194,Na h-Eileanan Siar,2017,590
1195,Na h-Eileanan Siar,2018,614
1196,Na h-Eileanan Siar,2019,646
1197,Na h-Eileanan Siar,2020,587
1198,Na h-Eileanan Siar,2021,633
1199,Na h-Eileanan Siar,2022,605
1200,Orkney Islands,2017,654
1201,Orkney Islands,2018,603
1202,Orkney Islands,2019,621
1203,Orkney Islands,2020,550
1204,Orkney Islands,2021,573
1205,Orkney Islands,2022,594
1206,Shetland Islands,2017,873
1207,Shetland Islands,2018,859
1208,Shetland Islands,2019,886
1209,Shetland Islands,2020,783
1210,Shetland Islands,2021,776
1211,Shetland Islands,2022,766
1212,Eastern Scotland,2017,64226
1213,Eastern Scotland,2018,64890
1214,Eastern Scotland,2019,66067
1215,Eastern Scotland,2020,57966
1216,Eastern Scotland,2021,64121
1217,Eastern Scotland,2022,66048
1218,Angus and Dundee City,2017,6326
1219,Angus and Dundee City,2018,6393
1220,Angus and Dundee City,2019,6617
1221,Angus and Dundee City,2020,5552
1222,Angus and Dundee City,2021,6261
1223,Angus and Dundee City,2022,6493
1224,Clackmannanshire and Fife,2017,9795
1225,Clackmannanshire and Fife,2018,9701
1226,Clackmannanshire and Fife,2019,9817
1227,Clackmannanshire and Fife,2020,9005
1228,Clackmannanshire and Fife,2021,9753
1229,Clackmannanshire and Fife,2022,9998
1230,East Lothian and Midlothian,2017,3938
1231,East Lothian and Midlothian,2018,4019
1232,East Lothian and Midlothian,2019,4101
1233,East Lothian and Midlothian,2020,3633
1234,East Lothian and Midlothian,2021,4051
1235,East Lothian and Midlothian,2022,4104
1236,City of Edinburgh,2017,26609
1237,City of Edinburgh,2018,27148
1238,City of Edinburgh,2019,27641
1239,City of Edinburgh,2020,23931
1240,City of Edinburgh,2021,26404
1241,City of Edinburgh,2022,28046
1242,Falkirk,2017,4471
1243,Falkirk,2018,4545
1244,Falkirk,2019,4573
1245,Falkirk,2020,3913
1246,Falkirk,2021,4348
1247,Falkirk,2022,4289
1248,"Perth and Kinross, and Stirling",2017,7963
1249,"Perth and Kinross, and Stirling",2018,7766
1250,"Perth and Kinross, and Stirling",2019,7896
1251,"Perth and Kinross, and Stirling",2020,6762
1252,"Perth and Kinross, and Stirling",2021,7285
1253,"Perth and Kinross, and Stirling",2022,7214
1254,West Lothian,2017,5118
1255,West Lothian,2018,5341
1256,West Lothian,2019,5423
1257,West Lothian,2020,5178
1258,West Lothian,2021,5818
1259,West Lothian,2022,6088
1260,West Central Scotland,2017,45704
1261,West Central Scotland,2018,46068
1262,West Central Scotland,2019,47066
1263,West Central Scotland,2020,41767
1264,West Central Scotland,2021,46497
1265,West Central Scotland,2022,47676
1266,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2017,4618
1267,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2018,4675
1268,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2019,4748
1269,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2020,4081
1270,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2021,4424
1271,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2022,4603
1272,Glasgow City,2017,23661
1273,Glasgow City,2018,23908
1274,Glasgow City,2019,24649
1275,Glasgow City,2020,22052
1276,Glasgow City,2021,24500
1277,Glasgow City,2022,25817
1278,"Inverclyde, East Renfrewshire, and Renfrewshire",2017,8081
1279,"Inverclyde, East Renfrewshire, and Renfrewshire",2018,8088
1280,"Inverclyde, East Renfrewshire, and Renfrewshire",2019,8093
1281,"Inverclyde, East Renfrewshire, and Renfrewshire",2020,7023
1282,"Inverclyde, East Renfrewshire, and Renfrewshire",2021,7837
1283,"Inverclyde, East Renfrewshire, and Renfrewshire",2022,7732
1284,North Lanarkshire,2017,9335
1285,North Lanarkshire,2018,9408
1286,North Lanarkshire,2019,9576
1287,North Lanarkshire,2020,8524
1288,North Lanarkshire,2021,9292
1289,North Lanarkshire,2022,9625
1290,Southern Scotland,2017,23007
1291,Southern Scotland,2018,22748
1292,Southern Scotland,2019,22866
1293,Southern Scotland,2020,19728
1294,Southern Scotland,2021,21139
1295,Southern Scotland,2022,21931
1296,Scottish Borders,2017,2751
1297,Scottish Borders,2018,2808
1298,Scottish Borders,2019,2838
1299,Scottish Borders,2020,2451
1300,Scottish Borders,2021,2687
1301,Scottish Borders,2022,2582
1302,Dumfries and Galloway,2017,4126
1303,Dumfries and Galloway,2018,4048
1304,Dumfries and Galloway,2019,4141
1305,Dumfries and Galloway,2020,3583
1306,Dumfries and Galloway,2021,3784
1307,Dumfries and Galloway,2022,3854
1308,East Ayrshire and North Ayrshire mainland,2017,5012
1309,East Ayrshire and North Ayrshire mainland,2018,4927
1310,East Ayrshire and North Ayrshire mainland,2019,4945
1311,East Ayrshire and North Ayrshire mainland,2020,4408
1312,East Ayrshire and North Ayrshire mainland,2021,4827
1313,East Ayrshire and North Ayrshire mainland,2022,5075
1314,South Ayrshire,2017,2904
1315,South Ayrshire,2018,2912
1316,South Ayrshire,2019,2887
1317,South Ayrshire,2020,2352
1318,South Ayrshire,2021,2512
1319,South Ayrshire,2022,2710
1320,South Lanarkshire,2017,8287
1321,South Lanarkshire,2018,8086
1322,South Lanarkshire,2019,8056
1323,South Lanarkshire,2020,6995
1324,South Lanarkshire,2021,7356
1325,South Lanarkshire,2022,7764
1326,Northern Ireland,2017,48681
1327,Northern Ireland,2018,48811
1328,Northern Ireland,2019,50057
1329,Northern Ireland,2020,43922
1330,Northern Ireland,2021,49102
1331,Northern Ireland,2022,50591
1332,Northern Ireland,2017,48681
1333,Northern Ireland,2018,48811
1334,Northern Ireland,2019,50057
1335,Northern Ireland,2020,43922
1336,Northern Ireland,2021,49102
1337,Northern Ireland,2022,50591
1338,Belfast,2017,14481
1339,Belfast,2018,14584
1340,Belfast,2019,14750
1341,Belfast,2020,12876
1342,Belfast,2021,14831
1343,Belfast,2022,15341
1344,"Armagh City, Banbridge and Craigavon",2017,4554
1345,"Armagh City, Banbridge and Craigavon",2018,4713
1346,"Armagh City, Banbridge and Craigavon",2019,4843
1347,"Armagh City, Banbridge and Craigavon",2020,4193
1348,"Armagh City, Banbridge and Craigavon",2021,4692
1349,"Armagh City, Banbridge and Craigavon",2022,4800
1350,"Newry, Mourne and Down",2017,3677
1351,"Newry, Mourne and Down",2018,3719
1352,"Newry, Mourne and Down",2019,3862
1353,"Newry, Mourne and Down",2020,3435
1354,"Newry, Mourne and Down",2021,3722
1355,"Newry, Mourne and Down",2022,3847
1356,Ards and North Down,2017,2648
1357,Ards and North Down,2018,2679
1358,Ards and North Down,2019,2740
1359,Ards and North Down,2020,2427
1360,Ards and North Down,2021,2606
1361,Ards and North Down,2022,2616
1362,Derry City and Strabane,2017,3257
1363,Derry City and Strabane,2018,3279
1364,Derry City and Strabane,2019,3438
1365,Derry City and Strabane,2020,3100
1366,Derry City and Strabane,2021,3361
1367,Derry City and Strabane,2022,3556
1368,Mid Ulster,2017,3817
1369,Mid Ulster,2018,4030
1370,Mid Ulster,2019,4206
1371,Mid Ulster,2020,3728
1372,Mid Ulster,2021,4167
1373,Mid Ulster,2022,4303
1374,Causeway Coast and Glens,2017,2788
1375,Causeway Coast and Glens,2018,2706
1376,Causeway Coast and Glens,2019,2722
1377,Causeway Coast and Glens,2020,2351
1378,Causeway Coast and Glens,2021,2601
1379,Causeway Coast and Glens,2022,2663
1380,Antrim and Newtownabbey,2017,3798
1381,Antrim and Newtownabbey,2018,3812
1382,Antrim and Newtownabbey,2019,3916
1383,Antrim and Newtownabbey,2020,3346
1384,Antrim and Newtownabbey,2021,3745
1385,Antrim and Newtownabbey,2022,3797
1386,Lisburn and Castlereagh,2017,3680
1387,Lisburn and Castlereagh,2018,3791
1388,Lisburn and Castlereagh,2019,3934
1389,Lisburn and Castlereagh,2020,3344
1390,Lisburn and Castlereagh,2021,3793
1391,Lisburn and Castlereagh,2022,3978
1392,Mid and East Antrim,2017,3377
1393,Mid and East Antrim,2018,2885
1394,Mid and East Antrim,2019,2943
1395,Mid and East Antrim,2020,2709
1396,Mid and East Antrim,2021,2856
1397,Mid and East Antrim,2022,2878
1398,Fermanagh and Omagh,2017,2575
1399,Fermanagh and Omagh,2018,2645
1400,Fermanagh and Omagh,2019,2703
1401,Fermanagh and Omagh,2020,2409
1402,Fermanagh and Omagh,2021,2677
1403,Fermanagh and Omagh,2022,2722
1404,Extra-Regio,2017,17480
1405,Extra-Regio,2018,18321
1406,Extra-Regio,2019,18510
1407,Extra-Regio,2020,18319
1408,Extra-Regio,2021,13556
1409,Extra-Regio,2022,13139
1410,United Kingdom less Extra-Regio,2017,2149915
1411,United Kingdom less Extra-Regio,2018,2178955
1412,United Kingdom less Extra-Regio,2019,2215411
1413,United Kingdom less Extra-Regio,2020,1975015
1414,United Kingdom less Extra-Regio,2021,2161927
1415,United Kingdom less Extra-Regio,2022,2249219
